Star					Grp	SpType		 Vmag	e_Vmag	 V-J	 e_V-J	Dist	e_Dist	 VMAG	e_VMAG	  _RA		  _DE
HR 8425                	AB	B7IVn      	 1.734	 0.012	-0.257	 0.032	30.969	 0.201	-0.721	 0.031	332.05825	-46.96097
HR 7348                	AB	B8Vs       	 3.962	 0.004	-0.174	 0.030	55.741	 0.684	 0.231	 0.053	290.97154	-40.61594
HR 838                 	AB	B8Vn       	 3.613	 0.016	-0.166	 0.034	50.787	 0.490	 0.084	 0.045	042.49596	+27.26050
HR 8911                	AB	A2Vp       	 4.936	 0.011	 0.034	 0.021	47.059	 0.642	 1.573	 0.060	351.73317	+01.25561
HR 9016                	AB	A0Va+n     	 4.568	 0.008	 0.036	 0.022	42.141	 0.391	 1.444	 0.041	357.23146	-28.13028
HR 1014                	AB	A3V        	 6.022	 0.009	 0.240	 0.025	54.945	 0.906	 2.322	 0.072	049.49612	-66.92686
HR 7214                	AB	A4V        	 5.816	 0.009	 0.354	 0.022	54.885	 0.934	 2.119	 0.076	285.88437	+01.81878
HD 25953               	AB	F5V        	 7.825	 0.012	 0.933	 0.029	55.188	 2.802	 4.115	 0.221	061.67304	+01.68392
HD 4277                	AB	F8V        	 7.590	 0.014	 0.945	 0.024	52.521	 2.455	 3.988	 0.204	011.46204	+54.97783
HR 1249                	AB	F7V        	 5.377	 0.011	 0.984	 0.032	18.832	 0.113	 4.002	 0.028	060.65312	-00.26892
HD 45270               	AB	G1V        	 6.517	 0.010	 1.084	 0.037	23.781	 0.153	 4.636	 0.030	095.62892	-60.21864
HD 178085              	AB	G0V        	 8.307	 0.013	 1.106	 0.027	61.350	 2.898	 4.368	 0.206	287.74104	-60.27219
HD 152555              	AB	G0V     	 7.817	 0.012	 1.117	 0.027	46.729	 2.009	 4.469	 0.187	253.53392	-04.34019
BD+21 418              	AB	G5V        	 8.512	 0.017	 1.129	 0.026	53.706	 3.259	 4.862	 0.264	047.80767	+22.41586
HD 217343              	AB	G5Vk     	 7.483	 0.012	 1.192	 0.023	30.760	 0.671	 5.043	 0.096	345.08037	-26.15375
AK Pic                 	AB	G2V        	 6.184	 0.004	 1.245	 0.026	21.295	 0.367	 4.531	 0.075	099.50154	-61.53339
HD 222575              	AB	G8V        	 9.378	 0.025	 1.281	 0.035	63.694	 4.584	 5.357	 0.314	355.47621	-35.97772
BD+41 4749             	AB	G0V        	 8.928	 0.016	 1.323	 0.025	50.150	 2.867	 5.427	 0.249	349.91483	+42.25272
HD 16760               	AB	G2V        	 8.765	 0.016	 1.334	 0.028	45.455	 4.855	 5.477	 0.464	040.58879	+38.61867
IS Eri                 	AB	G0V        	 8.491	 0.022	 1.335	 0.036	37.411	 1.568	 5.626	 0.183	047.42621	-09.57961
HD 218860              	AB	G8V        	 8.803	 0.017	 1.336	 0.031	49.358	 2.753	 5.336	 0.243	347.96687	-45.13628
BD-12 243              	AB	G9Vk       	 8.391	 0.015	 1.365	 0.025	34.400	 1.195	 5.709	 0.152	020.13446	-11.46769
V577 Per               	AB	K2V        	 8.250	 0.013	 1.414	 0.024	34.388	 1.206	 5.568	 0.153	053.30621	+46.25736
HD 6569                	AB	K1V        	 9.446	 0.026	 1.537	 0.036	47.348	 2.758	 6.070	 0.254	016.60896	-14.29642
UY Pic                 	AB	K5Vk     	 7.910	 0.013	 1.540	 0.022	25.113	 0.858	 5.910	 0.149	084.23687	-47.96469
HD 17332A              	AB	G1V        	 7.446	 0.013	 1.578	 0.024	33.557	 0.923	 4.817	 0.120	041.86425	+19.37183
HD 37551A              	AB	G7V        	 9.675	 0.026	 1.595	 0.037	76.628	 2.995	 5.253	 0.172	084.30379	-42.71544
HD 36705A              	AB	K2Vk       	 6.937	 0.011	 1.621	 0.022	15.168	 0.131	 6.033	 0.039	082.18679	-65.44858
PX Vir                 	AB	K1Vk       	 7.701	 0.013	 1.648	 0.025	21.692	 0.381	 6.019	 0.077	195.95687	-05.16181
HD 13482               	AB	K1IV   	 	 7.861	 0.011	 1.658	 0.021	36.630	 1.462	 5.000	 0.174	033.06421	+23.95819
GJ 4377                	AB	K3Vk     	 8.248	 0.013	 1.738	 0.029	21.968	 0.449	 6.539	 0.090	359.04446	-39.05233
PW And                 	AB	K2V        	 8.860	 0.014	 1.845	 0.028	28.600	 1.300	 6.578	 0.198	004.58704	+30.95617
HD 16760B              	AB	K2V        	10.270	 0.046	 1.893	 0.052	50.429	 6.663	 6.756	 0.576	040.58725	+38.62253
LO Peg                 	AB	K3Vke      	 9.245	 0.019	 2.170	 0.029	24.802	 0.652	 7.273	 0.116	322.75712	+23.33539
HD 17332B              	AB	G5V        	 8.171	 0.017	 2.199	 0.063	33.557	 0.923	 5.542	 0.120	041.86346	+19.37244
BD+21 418B             	AB	K6V        	10.599	 0.010	 2.241	 0.026	52.466	 8.588	 7.000	 0.711	047.80137	+22.42297
HD 201919              	AB	K6Ve       	10.640	 0.010	 2.292	 0.031	39.000	 1.000	 7.685	 0.112	318.27196	-17.48683
HD 37551B              	AB	K1V        	10.600	 0.055	 2.331	 0.081	76.628	 2.995	 6.178	 0.178	084.30508	-42.71592
HIP 26369              	AB	K5Vke      	 9.810	 0.010	 2.362	 0.028	25.634	 4.823	 7.766	 0.817	084.22950	-47.96333
HIP 31878              	AB	K7Ve       	 9.682	 0.036	 2.381	 0.041	22.351	 0.455	 7.935	 0.095	099.95842	-61.47819
